Subject,Session,Condition,Region,Reference,Comparison,FirstStim,SecondStim,UserChoice,ChoseComparison
P21,S01,On-touch (Mid),C,26,15.0,15.0,26.0,1,1
P21,S01,On-touch (Mid),F,26,60.0,60.0,26.0,1,1
P21,S01,On-touch (Mid),F,26,10.0,26.0,10.0,1,0
P21,S01,On-touch (Mid),E,26,60.0,60.0,26.0,1,1
P21,S01,On-touch (Mid),A,26,60.0,60.0,26.0,1,1
P21,S01,On-touch (Mid),A,26,15.0,26.0,15.0,2,1
P21,S01,On-touch (Mid),D,26,10.0,26.0,10.0,1,0
P21,S01,On-touch (Mid),E,26,15.0,26.0,15.0,2,1
P21,S01,On-touch (Mid),C,26,60.0,26.0,60.0,2,1
P21,S01,On-touch (Mid),D,26,10.0,26.0,10.0,1,0
P21,S01,On-touch (Mid),A,26,10.0,10.0,26.0,2,0
P21,S01,On-touch (Mid),E,26,10.0,26.0,10.0,1,0
P21,S01,On-touch (Mid),E,26,15.0,15.0,26.0,1,1
P21,S01,On-touch (Mid),E,26,60.0,60.0,26.0,1,1
P21,S01,On-touch (Mid),D,26,60.0,60.0,26.0,1,1
P21,S01,On-touch (Mid),C,26,10.0,26.0,10.0,2,1
P21,S01,On-touch (Mid),C,26,15.0,26.0,15.0,2,1
P21,S01,On-touch (Mid),D,26,15.0,15.0,26.0,1,1
P21,S01,On-touch (Mid),F,26,15.0,15.0,26.0,1,1
P21,S01,On-touch (Mid),A,26,10.0,10.0,26.0,1,1
P21,S01,On-touch (Mid),C,26,60.0,60.0,26.0,1,1
P21,S01,On-touch (Mid),B,26,60.0,60.0,26.0,2,0
P21,S01,On-touch (Mid),F,26,60.0,60.0,26.0,1,1
P21,S01,On-touch (Mid),A,26,60.0,60.0,26.0,2,0
P21,S01,On-touch (Mid),C,26,10.0,10.0,26.0,2,0
P21,S01,On-touch (Mid),B,26,10.0,10.0,26.0,2,0
P21,S01,On-touch (Mid),D,26,15.0,26.0,15.0,2,1
P21,S01,On-touch (Mid),E,26,10.0,26.0,10.0,1,0
P21,S01,On-touch (Mid),B,26,60.0,60.0,26.0,2,0
P21,S01,On-touch (Mid),B,26,15.0,26.0,15.0,2,1
P21,S01,On-touch (Mid),A,26,15.0,15.0,26.0,1,1
P21,S01,On-touch (Mid),B,26,15.0,15.0,26.0,1,1
P21,S01,On-touch (Mid),F,26,15.0,26.0,15.0,2,1
P21,S01,On-touch (Mid),F,26,10.0,10.0,26.0,2,0
P21,S01,On-touch (Mid),B,26,10.0,10.0,26.0,2,0
P21,S01,On-touch (Mid),D,26,60.0,26.0,60.0,2,1
P21,S01,On-touch (Mid),E,1,0.6,1.0,0.6,2,1
P21,S01,On-touch (Mid),B,1,0.4,1.0,0.4,2,1
P21,S01,On-touch (Mid),B,1,0.6,0.6,1.0,1,1
P21,S01,On-touch (Mid),C,1,1.4,1.4,1.0,1,1
P21,S01,On-touch (Mid),A,1,2.0,1.0,2.0,2,1
P21,S01,On-touch (Mid),F,1,0.4,1.0,0.4,2,1
P21,S01,On-touch (Mid),E,1,1.4,1.0,1.4,1,0
P21,S01,On-touch (Mid),E,1,2.0,1.0,2.0,1,0
P21,S01,On-touch (Mid),F,1,0.6,1.0,0.6,1,0
P21,S01,On-touch (Mid),F,1,0.6,1.0,0.6,2,1
P21,S01,On-touch (Mid),B,1,2.0,2.0,1.0,1,1
P21,S01,On-touch (Mid),B,1,2.0,2.0,1.0,1,1
P21,S01,On-touch (Mid),F,1,2.0,2.0,1.0,1,1
P21,S01,On-touch (Mid),D,1,0.4,0.4,1.0,2,0
P21,S01,On-touch (Mid),D,1,2.0,2.0,1.0,2,0
P21,S01,On-touch (Mid),A,1,2.0,2.0,1.0,1,1
P21,S01,On-touch (Mid),A,1,0.6,0.6,1.0,2,0
P21,S01,On-touch (Mid),A,1,0.4,0.4,1.0,1,1
P21,S01,On-touch (Mid),C,1,0.4,1.0,0.4,2,1
P21,S01,On-touch (Mid),A,1,0.4,0.4,1.0,1,1
P21,S01,On-touch (Mid),C,1,0.4,0.4,1.0,2,0
P21,S01,On-touch (Mid),B,1,1.4,1.0,1.4,1,0
P21,S01,On-touch (Mid),F,1,1.4,1.0,1.4,1,0
P21,S01,On-touch (Mid),A,1,1.4,1.0,1.4,1,0
P21,S01,On-touch (Mid),C,1,0.6,0.6,1.0,1,1
P21,S01,On-touch (Mid),D,1,0.6,1.0,0.6,2,1
P21,S01,On-touch (Mid),D,1,1.4,1.0,1.4,1,0
P21,S01,On-touch (Mid),D,1,1.4,1.0,1.4,1,0
P21,S01,On-touch (Mid),F,1,0.4,1.0,0.4,2,1
P21,S01,On-touch (Mid),B,1,0.4,1.0,0.4,1,0
P21,S01,On-touch (Mid),E,1,0.4,1.0,0.4,1,0
P21,S01,On-touch (Mid),A,1,0.6,1.0,0.6,2,1
P21,S01,On-touch (Mid),A,1,1.4,1.4,1.0,2,0
P21,S01,On-touch (Mid),B,1,0.6,1.0,0.6,2,1
P21,S01,On-touch (Mid),E,1,0.4,1.0,0.4,1,0
P21,S01,On-touch (Mid),C,1,2.0,2.0,1.0,1,1
P21,S01,On-touch (Mid),D,1,0.6,1.0,0.6,2,1
P21,S01,On-touch (Mid),C,1,1.4,1.4,1.0,2,0
P21,S01,On-touch (Mid),B,1,1.4,1.4,1.0,1,1
P21,S01,On-touch (Mid),D,1,0.4,0.4,1.0,2,0
P21,S01,On-touch (Mid),E,1,1.4,1.4,1.0,1,1
P21,S01,On-touch (Mid),F,1,2.0,2.0,1.0,2,0
P21,S01,On-touch (Mid),E,1,2.0,1.0,2.0,2,1
P21,S01,On-touch (Mid),E,1,0.6,0.6,1.0,1,1
P21,S01,On-touch (Mid),D,1,2.0,1.0,2.0,1,0
P21,S01,On-touch (Mid),F,1,1.4,1.0,1.4,1,0
P21,S01,On-touch (Mid),C,1,0.6,0.6,1.0,1,1
P21,S01,On-touch (Mid),C,1,2.0,1.0,2.0,2,1
P22,S01,On-touch (Mid),C,26,60.0,60.0,26.0,1,1
P22,S01,On-touch (Mid),B,26,10.0,26.0,10.0,1,0
P22,S01,On-touch (Mid),E,26,60.0,26.0,60.0,2,1
P22,S01,On-touch (Mid),B,26,15.0,15.0,26.0,1,1
P22,S01,On-touch (Mid),F,26,60.0,60.0,26.0,1,1
P22,S01,On-touch (Mid),D,26,15.0,26.0,15.0,2,1
P22,S01,On-touch (Mid),B,26,60.0,26.0,60.0,2,1
P22,S01,On-touch (Mid),E,26,15.0,15.0,26.0,1,1
P22,S01,On-touch (Mid),B,26,10.0,26.0,10.0,2,1
P22,S01,On-touch (Mid),A,26,60.0,60.0,26.0,1,1
P22,S01,On-touch (Mid),B,26,60.0,26.0,60.0,2,1
P22,S01,On-touch (Mid),D,26,60.0,26.0,60.0,2,1
P22,S01,On-touch (Mid),E,26,60.0,26.0,60.0,2,1
P22,S01,On-touch (Mid),E,26,10.0,10.0,26.0,1,1
P22,S01,On-touch (Mid),C,26,15.0,26.0,15.0,2,1
P22,S01,On-touch (Mid),C,26,10.0,10.0,26.0,2,0
P22,S01,On-touch (Mid),D,26,10.0,10.0,26.0,2,0
P22,S01,On-touch (Mid),B,26,15.0,15.0,26.0,1,1
P22,S01,On-touch (Mid),F,26,10.0,26.0,10.0,1,0
P22,S01,On-touch (Mid),C,26,15.0,26.0,15.0,2,1
P22,S01,On-touch (Mid),F,26,15.0,15.0,26.0,1,1
P22,S01,On-touch (Mid),A,26,60.0,60.0,26.0,1,1
P22,S01,On-touch (Mid),A,26,15.0,26.0,15.0,2,1
P22,S01,On-touch (Mid),A,26,15.0,26.0,15.0,2,1
P22,S01,On-touch (Mid),A,26,10.0,26.0,10.0,1,0
P22,S01,On-touch (Mid),F,26,10.0,26.0,10.0,1,0
P22,S01,On-touch (Mid),E,26,15.0,15.0,26.0,1,1
P22,S01,On-touch (Mid),E,26,10.0,10.0,26.0,2,0
P22,S01,On-touch (Mid),F,26,60.0,60.0,26.0,1,1
P22,S01,On-touch (Mid),D,26,60.0,26.0,60.0,1,0
P22,S01,On-touch (Mid),C,26,60.0,60.0,26.0,2,0
P22,S01,On-touch (Mid),D,26,15.0,15.0,26.0,2,0
P22,S01,On-touch (Mid),C,26,10.0,26.0,10.0,1,0
P22,S01,On-touch (Mid),D,26,10.0,10.0,26.0,2,0
P22,S01,On-touch (Mid),F,26,15.0,15.0,26.0,1,1
P22,S01,On-touch (Mid),A,26,10.0,26.0,10.0,1,0
P22,S01,On-touch (Mid),E,1,0.6,0.6,1.0,1,1
P22,S01,On-touch (Mid),F,1,0.4,1.0,0.4,2,1
P22,S01,On-touch (Mid),B,1,0.6,1.0,0.6,2,1
P22,S01,On-touch (Mid),B,1,2.0,1.0,2.0,2,1
P22,S01,On-touch (Mid),C,1,1.4,1.4,1.0,2,0
P22,S01,On-touch (Mid),A,1,1.4,1.0,1.4,1,0
P22,S01,On-touch (Mid),A,1,2.0,2.0,1.0,2,0
P22,S01,On-touch (Mid),C,1,2.0,1.0,2.0,1,0
P22,S01,On-touch (Mid),A,1,0.6,1.0,0.6,2,1
P22,S01,On-touch (Mid),E,1,1.4,1.0,1.4,2,1
P22,S01,On-touch (Mid),A,1,2.0,1.0,2.0,2,1
P22,S01,On-touch (Mid),A,1,1.4,1.4,1.0,2,0
P22,S01,On-touch (Mid),D,1,0.6,0.6,1.0,1,1
P22,S01,On-touch (Mid),B,1,1.4,1.0,1.4,1,0
P22,S01,On-touch (Mid),C,1,0.6,1.0,0.6,2,1
P22,S01,On-touch (Mid),D,1,1.4,1.4,1.0,1,1
P22,S01,On-touch (Mid),B,1,1.4,1.4,1.0,2,0
P22,S01,On-touch (Mid),E,1,0.4,1.0,0.4,1,0
P22,S01,On-touch (Mid),B,1,0.4,0.4,1.0,1,1
P22,S01,On-touch (Mid),F,1,0.6,1.0,0.6,2,1
P22,S01,On-touch (Mid),E,1,2.0,2.0,1.0,1,1
P22,S01,On-touch (Mid),F,1,0.6,1.0,0.6,2,1
P22,S01,On-touch (Mid),E,1,0.6,1.0,0.6,2,1
P22,S01,On-touch (Mid),D,1,0.4,0.4,1.0,2,0
P22,S01,On-touch (Mid),B,1,0.4,0.4,1.0,2,0
P22,S01,On-touch (Mid),F,1,2.0,2.0,1.0,1,1
P22,S01,On-touch (Mid),D,1,0.4,1.0,0.4,2,1
P22,S01,On-touch (Mid),D,1,2.0,1.0,2.0,2,1
P22,S01,On-touch (Mid),F,1,1.4,1.4,1.0,1,1
P22,S01,On-touch (Mid),C,1,0.4,1.0,0.4,1,0
P22,S01,On-touch (Mid),E,1,1.4,1.4,1.0,2,0
P22,S01,On-touch (Mid),C,1,1.4,1.4,1.0,2,0
P22,S01,On-touch (Mid),E,1,2.0,1.0,2.0,2,1
P22,S01,On-touch (Mid),F,1,1.4,1.0,1.4,2,1
P22,S01,On-touch (Mid),D,1,1.4,1.0,1.4,2,1
P22,S01,On-touch (Mid),B,1,0.6,0.6,1.0,1,1
P22,S01,On-touch (Mid),C,1,2.0,1.0,2.0,2,1
P22,S01,On-touch (Mid),F,1,2.0,1.0,2.0,2,1
P22,S01,On-touch (Mid),D,1,2.0,1.0,2.0,2,1
P22,S01,On-touch (Mid),A,1,0.4,0.4,1.0,1,1
P22,S01,On-touch (Mid),F,1,0.4,0.4,1.0,1,1
P22,S01,On-touch (Mid),A,1,0.4,1.0,0.4,1,0
P22,S01,On-touch (Mid),C,1,0.4,0.4,1.0,2,0
P22,S01,On-touch (Mid),D,1,0.6,1.0,0.6,2,1
P22,S01,On-touch (Mid),A,1,0.6,0.6,1.0,2,0
P22,S01,On-touch (Mid),B,1,2.0,1.0,2.0,1,0
P22,S01,On-touch (Mid),E,1,0.4,0.4,1.0,2,0
P22,S01,On-touch (Mid),C,1,0.6,0.6,1.0,1,1
P23,S01,On-touch (Mid),B,26,10.0,26.0,10.0,1,0
P23,S01,On-touch (Mid),A,26,10.0,10.0,26.0,2,0
P23,S01,On-touch (Mid),F,26,10.0,26.0,10.0,1,0
P23,S01,On-touch (Mid),D,26,10.0,10.0,26.0,2,0
P23,S01,On-touch (Mid),B,26,60.0,60.0,26.0,1,1
P23,S01,On-touch (Mid),B,26,15.0,15.0,26.0,1,1
P23,S01,On-touch (Mid),A,26,60.0,26.0,60.0,2,1
P23,S01,On-touch (Mid),E,26,15.0,15.0,26.0,1,1
P23,S01,On-touch (Mid),E,26,15.0,15.0,26.0,1,1
P23,S01,On-touch (Mid),A,26,60.0,60.0,26.0,1,1
P23,S01,On-touch (Mid),D,26,10.0,10.0,26.0,2,0
P23,S01,On-touch (Mid),D,26,15.0,15.0,26.0,1,1
P23,S01,On-touch (Mid),F,26,15.0,15.0,26.0,1,1
P23,S01,On-touch (Mid),F,26,15.0,26.0,15.0,1,0
P23,S01,On-touch (Mid),A,26,15.0,26.0,15.0,2,1
P23,S01,On-touch (Mid),A,26,15.0,15.0,26.0,2,0
P23,S01,On-touch (Mid),E,26,60.0,26.0,60.0,1,0
P23,S01,On-touch (Mid),E,26,10.0,10.0,26.0,1,1
P23,S01,On-touch (Mid),A,26,10.0,26.0,10.0,1,0
P23,S01,On-touch (Mid),F,26,60.0,26.0,60.0,2,1
P23,S01,On-touch (Mid),C,26,10.0,26.0,10.0,1,0
P23,S01,On-touch (Mid),E,26,60.0,26.0,60.0,1,0
P23,S01,On-touch (Mid),F,26,60.0,60.0,26.0,1,1
P23,S01,On-touch (Mid),B,26,15.0,15.0,26.0,2,0
P23,S01,On-touch (Mid),E,26,10.0,26.0,10.0,1,0
P23,S01,On-touch (Mid),F,26,10.0,26.0,10.0,1,0
P23,S01,On-touch (Mid),C,26,60.0,60.0,26.0,1,1
P23,S01,On-touch (Mid),D,26,60.0,60.0,26.0,2,0
P23,S01,On-touch (Mid),C,26,15.0,26.0,15.0,2,1
P23,S01,On-touch (Mid),C,26,10.0,10.0,26.0,1,1
P23,S01,On-touch (Mid),D,26,15.0,15.0,26.0,1,1
P23,S01,On-touch (Mid),B,26,10.0,26.0,10.0,1,0
P23,S01,On-touch (Mid),C,26,60.0,26.0,60.0,1,0
P23,S01,On-touch (Mid),B,26,60.0,26.0,60.0,1,0
P23,S01,On-touch (Mid),C,26,15.0,26.0,15.0,1,0
P23,S01,On-touch (Mid),D,26,60.0,26.0,60.0,2,1
P23,S01,On-touch (Mid),A,1,0.4,0.4,1.0,2,0
P23,S01,On-touch (Mid),B,1,1.4,1.0,1.4,1,0
P23,S01,On-touch (Mid),A,1,1.4,1.4,1.0,2,0
P23,S01,On-touch (Mid),F,1,0.6,1.0,0.6,2,1
P23,S01,On-touch (Mid),A,1,1.4,1.0,1.4,2,1
P23,S01,On-touch (Mid),D,1,0.6,0.6,1.0,1,1
P23,S01,On-touch (Mid),A,1,0.4,1.0,0.4,1,0
P23,S01,On-touch (Mid),B,1,0.4,0.4,1.0,2,0
P23,S01,On-touch (Mid),F,1,2.0,2.0,1.0,1,1
P23,S01,On-touch (Mid),B,1,1.4,1.4,1.0,2,0
P23,S01,On-touch (Mid),E,1,0.4,0.4,1.0,1,1
P23,S01,On-touch (Mid),A,1,0.6,1.0,0.6,2,1
P23,S01,On-touch (Mid),C,1,0.6,1.0,0.6,2,1
P23,S01,On-touch (Mid),C,1,0.4,1.0,0.4,2,1
P23,S01,On-touch (Mid),C,1,1.4,1.0,1.4,1,0
P23,S01,On-touch (Mid),D,1,2.0,1.0,2.0,2,1
P23,S01,On-touch (Mid),C,1,2.0,2.0,1.0,2,0
P23,S01,On-touch (Mid),B,1,2.0,1.0,2.0,1,0
P23,S01,On-touch (Mid),A,1,2.0,1.0,2.0,1,0
P23,S01,On-touch (Mid),A,1,0.6,1.0,0.6,1,0
P23,S01,On-touch (Mid),D,1,1.4,1.0,1.4,1,0
P23,S01,On-touch (Mid),F,1,1.4,1.4,1.0,2,0
P23,S01,On-touch (Mid),E,1,1.4,1.4,1.0,2,0
P23,S01,On-touch (Mid),B,1,0.6,0.6,1.0,1,1
P23,S01,On-touch (Mid),F,1,1.4,1.4,1.0,1,1
P23,S01,On-touch (Mid),E,1,0.6,1.0,0.6,1,0
P23,S01,On-touch (Mid),D,1,1.4,1.4,1.0,2,0
P23,S01,On-touch (Mid),E,1,2.0,1.0,2.0,1,0
P23,S01,On-touch (Mid),D,1,0.6,0.6,1.0,1,1
P23,S01,On-touch (Mid),A,1,2.0,1.0,2.0,1,0
P23,S01,On-touch (Mid),C,1,2.0,2.0,1.0,1,1
P23,S01,On-touch (Mid),C,1,1.4,1.0,1.4,1,0
P23,S01,On-touch (Mid),D,1,0.4,0.4,1.0,1,1
P23,S01,On-touch (Mid),F,1,0.4,0.4,1.0,2,0
P23,S01,On-touch (Mid),B,1,2.0,1.0,2.0,2,1
P23,S01,On-touch (Mid),E,1,2.0,1.0,2.0,2,1
P23,S01,On-touch (Mid),F,1,2.0,2.0,1.0,2,0
P23,S01,On-touch (Mid),E,1,0.4,1.0,0.4,1,0
P23,S01,On-touch (Mid),B,1,0.4,0.4,1.0,2,0
P23,S01,On-touch (Mid),E,1,1.4,1.4,1.0,2,0
P23,S01,On-touch (Mid),E,1,0.6,1.0,0.6,1,0
P23,S01,On-touch (Mid),D,1,2.0,1.0,2.0,2,1
P23,S01,On-touch (Mid),D,1,0.4,0.4,1.0,2,0
P23,S01,On-touch (Mid),C,1,0.6,0.6,1.0,2,0
P23,S01,On-touch (Mid),F,1,0.6,1.0,0.6,2,1
P23,S01,On-touch (Mid),B,1,0.6,0.6,1.0,1,1
P23,S01,On-touch (Mid),C,1,0.4,1.0,0.4,2,1
P23,S01,On-touch (Mid),F,1,0.4,1.0,0.4,1,0
P24,S01,On-touch (Mid),E,26,15.0,15.0,26.0,1,1
P24,S01,On-touch (Mid),B,26,10.0,10.0,26.0,2,0
P24,S01,On-touch (Mid),A,26,15.0,15.0,26.0,1,1
P24,S01,On-touch (Mid),E,26,60.0,26.0,60.0,2,1
P24,S01,On-touch (Mid),A,26,10.0,10.0,26.0,2,0
P24,S01,On-touch (Mid),E,26,10.0,10.0,26.0,2,0
P24,S01,On-touch (Mid),F,26,15.0,26.0,15.0,2,1
P24,S01,On-touch (Mid),C,26,60.0,60.0,26.0,2,0
P24,S01,On-touch (Mid),F,26,60.0,26.0,60.0,2,1
P24,S01,On-touch (Mid),A,26,60.0,60.0,26.0,1,1
P24,S01,On-touch (Mid),E,26,10.0,26.0,10.0,2,1
P24,S01,On-touch (Mid),B,26,15.0,26.0,15.0,2,1
P24,S01,On-touch (Mid),A,26,60.0,60.0,26.0,2,0
P24,S01,On-touch (Mid),E,26,60.0,26.0,60.0,2,1
P24,S01,On-touch (Mid),F,26,15.0,15.0,26.0,1,1
P24,S01,On-touch (Mid),E,26,15.0,15.0,26.0,2,0
P24,S01,On-touch (Mid),C,26,10.0,10.0,26.0,1,1
P24,S01,On-touch (Mid),B,26,10.0,26.0,10.0,1,0
P24,S01,On-touch (Mid),D,26,15.0,15.0,26.0,1,1
P24,S01,On-touch (Mid),D,26,60.0,60.0,26.0,2,0
P24,S01,On-touch (Mid),C,26,15.0,15.0,26.0,1,1
P24,S01,On-touch (Mid),B,26,15.0,26.0,15.0,2,1
P24,S01,On-touch (Mid),B,26,60.0,26.0,60.0,1,0
P24,S01,On-touch (Mid),C,26,60.0,26.0,60.0,2,1
P24,S01,On-touch (Mid),C,26,10.0,26.0,10.0,1,0
P24,S01,On-touch (Mid),A,26,15.0,26.0,15.0,2,1
P24,S01,On-touch (Mid),C,26,15.0,15.0,26.0,1,1
P24,S01,On-touch (Mid),D,26,10.0,10.0,26.0,2,0
P24,S01,On-touch (Mid),D,26,10.0,10.0,26.0,2,0
P24,S01,On-touch (Mid),F,26,10.0,10.0,26.0,2,0
P24,S01,On-touch (Mid),F,26,60.0,26.0,60.0,2,1
P24,S01,On-touch (Mid),B,26,60.0,60.0,26.0,2,0
P24,S01,On-touch (Mid),D,26,15.0,26.0,15.0,2,1
P24,S01,On-touch (Mid),F,26,10.0,26.0,10.0,1,0
P24,S01,On-touch (Mid),A,26,10.0,10.0,26.0,2,0
P24,S01,On-touch (Mid),D,26,60.0,60.0,26.0,2,0
P24,S01,On-touch (Mid),A,1,0.4,0.4,1.0,1,1
P24,S01,On-touch (Mid),F,1,2.0,2.0,1.0,2,0
P24,S01,On-touch (Mid),B,1,0.4,1.0,0.4,1,0
P24,S01,On-touch (Mid),E,1,2.0,2.0,1.0,1,1
P24,S01,On-touch (Mid),E,1,0.6,0.6,1.0,1,1
P24,S01,On-touch (Mid),E,1,2.0,2.0,1.0,2,0
P24,S01,On-touch (Mid),F,1,0.6,0.6,1.0,1,1
P24,S01,On-touch (Mid),E,1,1.4,1.4,1.0,1,1
P24,S01,On-touch (Mid),E,1,0.4,1.0,0.4,1,0
P24,S01,On-touch (Mid),B,1,2.0,1.0,2.0,2,1
P24,S01,On-touch (Mid),B,1,2.0,2.0,1.0,2,0
P24,S01,On-touch (Mid),B,1,0.6,1.0,0.6,2,1
P24,S01,On-touch (Mid),C,1,0.4,0.4,1.0,1,1
P24,S01,On-touch (Mid),E,1,1.4,1.4,1.0,1,1
P24,S01,On-touch (Mid),A,1,2.0,2.0,1.0,2,0
P24,S01,On-touch (Mid),A,1,0.4,0.4,1.0,2,0
P24,S01,On-touch (Mid),C,1,2.0,2.0,1.0,2,0
P24,S01,On-touch (Mid),E,1,0.4,1.0,0.4,1,0
P24,S01,On-touch (Mid),A,1,0.6,0.6,1.0,1,1
P24,S01,On-touch (Mid),A,1,0.6,1.0,0.6,2,1
P24,S01,On-touch (Mid),A,1,2.0,2.0,1.0,1,1
P24,S01,On-touch (Mid),F,1,0.4,1.0,0.4,1,0
P24,S01,On-touch (Mid),F,1,2.0,2.0,1.0,2,0
P24,S01,On-touch (Mid),D,1,0.6,1.0,0.6,2,1
P24,S01,On-touch (Mid),F,1,0.6,1.0,0.6,1,0
P24,S01,On-touch (Mid),C,1,0.6,1.0,0.6,2,1
P24,S01,On-touch (Mid),D,1,2.0,2.0,1.0,2,0
P24,S01,On-touch (Mid),E,1,0.6,0.6,1.0,1,1
P24,S01,On-touch (Mid),F,1,1.4,1.4,1.0,1,1
P24,S01,On-touch (Mid),A,1,1.4,1.4,1.0,2,0
P24,S01,On-touch (Mid),B,1,1.4,1.4,1.0,2,0
P24,S01,On-touch (Mid),D,1,0.4,1.0,0.4,2,1
P24,S01,On-touch (Mid),C,1,0.4,1.0,0.4,2,1
P24,S01,On-touch (Mid),D,1,0.4,1.0,0.4,1,0
P24,S01,On-touch (Mid),D,1,0.6,0.6,1.0,1,1
P24,S01,On-touch (Mid),C,1,0.6,0.6,1.0,2,0
P24,S01,On-touch (Mid),D,1,1.4,1.4,1.0,2,0
P24,S01,On-touch (Mid),F,1,1.4,1.4,1.0,1,1
P24,S01,On-touch (Mid),B,1,0.4,1.0,0.4,1,0
P24,S01,On-touch (Mid),A,1,1.4,1.4,1.0,2,0
P24,S01,On-touch (Mid),B,1,1.4,1.4,1.0,2,0
P24,S01,On-touch (Mid),C,1,2.0,1.0,2.0,2,1
P24,S01,On-touch (Mid),F,1,0.4,1.0,0.4,1,0
P24,S01,On-touch (Mid),D,1,2.0,2.0,1.0,2,0
P24,S01,On-touch (Mid),B,1,0.6,1.0,0.6,2,1
P24,S01,On-touch (Mid),C,1,1.4,1.4,1.0,2,0
P24,S01,On-touch (Mid),C,1,1.4,1.4,1.0,1,1
P24,S01,On-touch (Mid),D,1,1.4,1.0,1.4,1,0
P25,S01,On-touch (Mid),E,26,10.0,10.0,26.0,2,0
P25,S01,On-touch (Mid),C,26,15.0,15.0,26.0,1,1
P25,S01,On-touch (Mid),A,26,60.0,60.0,26.0,1,1
P25,S01,On-touch (Mid),E,26,15.0,26.0,15.0,1,0
P25,S01,On-touch (Mid),B,26,10.0,26.0,10.0,2,1
P25,S01,On-touch (Mid),D,26,60.0,60.0,26.0,1,1
P25,S01,On-touch (Mid),C,26,15.0,26.0,15.0,2,1
P25,S01,On-touch (Mid),E,26,15.0,26.0,15.0,2,1
P25,S01,On-touch (Mid),E,26,60.0,26.0,60.0,2,1
P25,S01,On-touch (Mid),E,26,10.0,26.0,10.0,1,0
P25,S01,On-touch (Mid),A,26,10.0,10.0,26.0,1,1
P25,S01,On-touch (Mid),F,26,15.0,26.0,15.0,1,0
P25,S01,On-touch (Mid),D,26,15.0,15.0,26.0,1,1
P25,S01,On-touch (Mid),A,26,15.0,26.0,15.0,1,0
P25,S01,On-touch (Mid),C,26,60.0,60.0,26.0,2,0
P25,S01,On-touch (Mid),A,26,10.0,10.0,26.0,1,1
P25,S01,On-touch (Mid),D,26,10.0,10.0,26.0,2,0
P25,S01,On-touch (Mid),B,26,60.0,60.0,26.0,2,0
P25,S01,On-touch (Mid),C,26,10.0,26.0,10.0,1,0
P25,S01,On-touch (Mid),F,26,60.0,60.0,26.0,1,1
P25,S01,On-touch (Mid),A,26,60.0,26.0,60.0,1,0
P25,S01,On-touch (Mid),A,26,15.0,15.0,26.0,1,1
P25,S01,On-touch (Mid),F,26,15.0,26.0,15.0,2,1
P25,S01,On-touch (Mid),C,26,60.0,60.0,26.0,1,1
P25,S01,On-touch (Mid),B,26,15.0,15.0,26.0,1,1
P25,S01,On-touch (Mid),E,26,60.0,26.0,60.0,2,1
P25,S01,On-touch (Mid),D,26,15.0,26.0,15.0,2,1
P25,S01,On-touch (Mid),B,26,60.0,60.0,26.0,2,0
P25,S01,On-touch (Mid),B,26,15.0,15.0,26.0,1,1
P25,S01,On-touch (Mid),D,26,10.0,10.0,26.0,2,0
P25,S01,On-touch (Mid),B,26,10.0,26.0,10.0,2,1
P25,S01,On-touch (Mid),F,26,10.0,10.0,26.0,2,0
P25,S01,On-touch (Mid),D,26,60.0,26.0,60.0,1,0
P25,S01,On-touch (Mid),C,26,10.0,10.0,26.0,2,0
P25,S01,On-touch (Mid),F,26,10.0,26.0,10.0,2,1
P25,S01,On-touch (Mid),F,26,60.0,60.0,26.0,2,0
P25,S01,On-touch (Mid),E,1,0.6,1.0,0.6,2,1
P25,S01,On-touch (Mid),E,1,0.4,1.0,0.4,1,0
P25,S01,On-touch (Mid),F,1,1.4,1.4,1.0,2,0
P25,S01,On-touch (Mid),B,1,0.6,0.6,1.0,2,0
P25,S01,On-touch (Mid),E,1,2.0,1.0,2.0,1,0
P25,S01,On-touch (Mid),D,1,2.0,2.0,1.0,2,0
P25,S01,On-touch (Mid),F,1,2.0,2.0,1.0,1,1
P25,S01,On-touch (Mid),E,1,0.4,0.4,1.0,1,1
P25,S01,On-touch (Mid),A,1,1.4,1.0,1.4,1,0
P25,S01,On-touch (Mid),E,1,1.4,1.4,1.0,2,0
P25,S01,On-touch (Mid),A,1,0.4,0.4,1.0,2,0
P25,S01,On-touch (Mid),C,1,1.4,1.4,1.0,2,0
P25,S01,On-touch (Mid),D,1,0.6,1.0,0.6,2,1
P25,S01,On-touch (Mid),A,1,2.0,1.0,2.0,2,1
P25,S01,On-touch (Mid),C,1,0.4,1.0,0.4,1,0
P25,S01,On-touch (Mid),D,1,1.4,1.0,1.4,1,0
P25,S01,On-touch (Mid),D,1,0.4,1.0,0.4,1,0
P25,S01,On-touch (Mid),A,1,0.6,1.0,0.6,2,1
P25,S01,On-touch (Mid),B,1,2.0,2.0,1.0,2,0
P25,S01,On-touch (Mid),C,1,2.0,2.0,1.0,1,1
P25,S01,On-touch (Mid),B,1,0.4,1.0,0.4,1,0
P25,S01,On-touch (Mid),F,1,0.4,0.4,1.0,2,0
P25,S01,On-touch (Mid),E,1,2.0,2.0,1.0,2,0
P25,S01,On-touch (Mid),B,1,1.4,1.4,1.0,2,0
P25,S01,On-touch (Mid),D,1,0.6,1.0,0.6,2,1
P25,S01,On-touch (Mid),B,1,0.4,1.0,0.4,2,1
